hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
Resort Hotel,1,133,2016,June,23,1,0,4,2,0.0,0,BB,Germany,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,85.5,0,1,Canceled,2016-01-25
City Hotel,0,37,2016,May,22,22,1,0,2,0.0,0,SC,France,Direct,Direct,0,0,0,A,A,0,No Deposit,0,Transient,116.1,0,0,Check-Out,2016-05-23
Resort Hotel,0,216,2015,September,40,30,2,7,2,0.0,0,HB,Italy,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,0,Transient,145.02,1,0,Check-Out,2015-10-09
City Hotel,0,22,2016,August,33,7,2,0,2,0.0,0,SC,United Kingdom,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,139.0,0,0,Check-Out,2016-08-09
Resort Hotel,1,207,2015,September,39,26,1,1,2,0.0,0,HB,United Kingdom,Offline TA/TO,TA/TO,0,1,0,A,A,0,No Deposit,0,Transient,34.0,0,0,Canceled,2015-06-27
Resort Hotel,0,7,2017,March,9,2,1,3,2,0.0,0,BB,Belgium,Groups,Corporate,0,0,0,A,C,0,No Deposit,0,Transient-Party,37.0,0,0,Check-Out,2017-03-06
City Hotel,1,34,2017,April,15,15,2,2,3,0.0,0,BB,China,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,190.0,0,0,Canceled,2017-03-13
Resort Hotel,1,139,2015,August,33,10,1,4,2,0.0,0,BB,Spain,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,0,Transient,147.6,0,1,Canceled,2015-05-09
City Hotel,0,50,2017,May,21,26,2,2,2,0.0,0,SC,Italy,Direct,Direct,0,0,0,A,D,1,No Deposit,0,Transient,180.0,0,2,Check-Out,2017-05-30
City Hotel,1,112,2017,May,21,27,2,1,3,0.0,0,BB,Portugal,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,189.0,0,0,Canceled,2017-05-14
City Hotel,1,10,2017,July,27,6,0,1,2,0.0,0,SC,Germany,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,118.0,0,1,Canceled,2017-06-27
Resort Hotel,1,47,2017,May,19,9,0,3,2,0.0,0,BB,CN,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,0,Transient,115.0,0,1,Canceled,2017-03-23
City Hotel,0,0,2016,August,34,17,0,1,2,0.0,0,BB,Australia,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,150.0,0,1,Check-Out,2016-08-18
Resort Hotel,0,4,2016,September,40,27,0,1,1,0.0,0,BB,Germany,Corporate,Corporate,1,0,3,A,D,0,No Deposit,0,Transient,59.0,0,0,Check-Out,2016-09-28
City Hotel,1,148,2017,May,18,4,0,2,2,0.0,0,BB,Germany,Groups,TA/TO,0,0,0,A,A,0,Non Refund,0,Transient,95.0,0,0,Canceled,2016-12-07
Resort Hotel,1,273,2017,March,12,25,2,5,2,0.0,0,BB,Netherlands,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,37.8,0,0,Canceled,2016-06-26
Resort Hotel,0,183,2016,July,31,24,2,4,2,0.0,0,BB,Portugal,Direct,Direct,0,0,1,F,F,1,No Deposit,0,Transient,153.0,0,0,Check-Out,2016-07-30
Resort Hotel,0,99,2016,December,53,26,2,5,3,1.0,0,BB,Portugal,Online TA,TA/TO,0,0,0,H,H,0,No Deposit,0,Transient,246.0,0,0,Check-Out,2017-01-02
Resort Hotel,1,146,2017,August,33,14,2,5,3,0.0,0,BB,United Kingdom,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,0,Transient,240.0,0,1,Canceled,2017-06-12
Resort Hotel,1,19,2017,August,33,18,0,2,2,0.0,0,HB,United Kingdom,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,262.0,0,0,Canceled,2017-07-30
Resort Hotel,0,1,2016,February,8,18,0,1,2,1.0,0,BB,Argentina,Online TA,TA/TO,0,0,0,D,D,1,No Deposit,0,Transient,64.0,1,0,Check-Out,2016-02-19
City Hotel,0,32,2016,April,16,16,1,1,3,0.0,0,BB,Germany,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,0,Transient,142.2,0,2,Check-Out,2016-04-18
Resort Hotel,0,22,2016,August,36,31,2,4,2,3.0,0,HB,Spain,Online TA,TA/TO,1,0,1,G,G,1,No Deposit,0,Transient,311.33,1,2,Check-Out,2016-09-06
City Hotel,1,12,2016,May,23,30,1,2,2,0.0,0,BB,Portugal,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,100.87,0,0,Canceled,2016-05-18
City Hotel,0,9,2017,July,30,25,0,2,3,0.0,0,BB,Spain,Direct,Direct,0,0,0,D,D,0,No Deposit,0,Transient,205.0,0,1,Check-Out,2017-07-27
Resort Hotel,0,29,2015,October,43,23,0,2,2,0.0,0,BB,Spain,Direct,Direct,0,0,0,A,D,0,No Deposit,0,Transient-Party,56.0,0,2,Check-Out,2015-10-25
City Hotel,0,16,2017,May,21,26,0,2,2,0.0,0,SC,Italy,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,169.0,0,1,Check-Out,2017-05-28
City Hotel,0,72,2017,June,25,18,2,0,2,0.0,0,SC,Sweden,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,140.0,0,1,Check-Out,2017-06-20
Resort Hotel,0,20,2016,January,3,15,0,1,1,0.0,0,BB,CN,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,0,Transient,36.96,0,0,Check-Out,2016-01-16
City Hotel,1,311,2017,May,21,24,0,4,2,0.0,0,BB,Denmark,Online TA,TA/TO,0,0,0,B,B,1,No Deposit,0,Transient,99.45,0,0,Canceled,2016-08-14
Resort Hotel,0,255,2016,August,34,19,1,2,2,0.0,0,BB,Germany,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,100.8,0,0,Check-Out,2016-08-22
City Hotel,0,178,2017,April,14,7,2,2,2,0.0,0,BB,Luxembourg,Online TA,TA/TO,0,0,0,B,A,1,No Deposit,0,Transient,103.05,0,0,Check-Out,2017-04-11
Resort Hotel,1,42,2016,July,31,25,1,1,2,0.0,0,BB,Portugal,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,0,Transient,209.0,0,0,Canceled,2016-06-21
City Hotel,0,77,2016,June,27,26,2,2,2,0.0,0,BB,Belgium,Direct,Direct,0,0,0,A,A,0,No Deposit,0,Transient,112.5,1,0,Check-Out,2016-06-30
City Hotel,1,62,2016,February,8,18,2,3,2,0.0,0,BB,Ukraine,Online TA,TA/TO,0,0,0,B,B,0,No Deposit,0,Transient,65.66,0,0,Canceled,2015-12-28
Resort Hotel,0,82,2016,February,7,7,2,0,2,0.0,0,Undefined,France,Groups,TA/TO,1,0,0,A,A,0,No Deposit,0,Transient-Party,72.0,0,0,Check-Out,2016-02-09
City Hotel,0,84,2016,August,34,15,1,0,2,0.0,0,BB,Italy,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,117.9,0,1,Check-Out,2016-08-16
City Hotel,0,36,2017,July,28,11,0,2,2,0.0,0,SC,Norway,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,120.0,0,1,Check-Out,2017-07-13
City Hotel,1,299,2015,August,33,12,0,2,2,0.0,0,BB,United Kingdom,Groups,TA/TO,0,1,0,A,A,0,Non Refund,0,Transient-Party,62.0,0,0,Canceled,2015-07-02
City Hotel,1,136,2016,November,49,28,1,4,0,2.0,0,BB,Argentina,Online TA,TA/TO,0,0,0,B,B,0,No Deposit,0,Transient,76.16,0,0,Canceled,2016-08-03
City Hotel,0,72,2017,July,26,1,2,5,2,0.0,0,BB,France,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,114.0,0,1,Check-Out,2017-07-08
Resort Hotel,0,0,2016,May,19,3,0,1,1,0.0,0,BB,France,Direct,Direct,0,0,0,A,E,0,No Deposit,0,Transient,70.0,0,0,Check-Out,2016-05-04
Resort Hotel,0,1,2015,October,44,30,0,0,1,0.0,0,BB,Portugal,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,0.0,0,0,Check-Out,2015-10-30
City Hotel,0,47,2015,November,46,14,2,1,2,0.0,0,BB,Italy,Offline TA/TO,TA/TO,0,0,0,D,D,1,No Deposit,0,Group,60.0,0,0,Check-Out,2015-11-17
City Hotel,1,49,2016,March,12,17,1,3,3,0.0,0,BB,Croatia,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,120.06,0,2,Canceled,2016-02-18
City Hotel,1,46,2017,June,25,20,0,1,2,0.0,0,BB,Portugal,Groups,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient-Party,90.0,0,0,Canceled,2017-06-06
City Hotel,0,25,2017,March,11,12,1,0,2,0.0,0,SC,Brazil,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,88.0,0,1,Check-Out,2017-03-13
City Hotel,0,0,2017,May,18,3,0,0,1,0.0,0,BB,Brazil,Direct,Direct,1,0,0,A,A,0,No Deposit,0,Transient,0.0,0,1,Check-Out,2017-05-03
Resort Hotel,0,92,2016,November,46,8,0,4,3,0.0,0,BB,Austria,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,0,Transient-Party,60.3,0,0,Check-Out,2016-11-12
City Hotel,1,77,2016,December,49,3,2,1,2,1.0,0,BB,Germany,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,109.8,0,0,Canceled,2016-10-15
Resort Hotel,0,161,2016,July,31,25,3,7,2,0.0,0,BB,France,Offline TA/TO,TA/TO,0,0,0,D,D,1,No Deposit,0,Transient,120.38,0,0,Check-Out,2016-08-04
City Hotel,1,208,2017,May,21,24,0,2,2,0.0,0,BB,Germany,Groups,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient-Party,12.0,0,0,Canceled,2017-05-11
City Hotel,0,87,2017,August,32,12,2,1,2,0.0,0,BB,Germany,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,0,Transient,130.0,0,3,Check-Out,2017-08-15
City Hotel,0,219,2017,July,31,30,2,2,2,1.0,0,BB,Germany,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,148.5,0,2,Check-Out,2017-08-03
City Hotel,0,97,2016,May,19,2,1,4,2,0.0,0,SC,Denmark,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,78.95,0,0,Check-Out,2016-05-07
City Hotel,1,204,2016,May,19,5,0,3,2,0.0,0,BB,Portugal,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,96,Transient,100.0,0,0,Canceled,2016-01-18
City Hotel,1,22,2017,May,21,22,1,1,2,0.0,0,SC,Germany,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,130.0,0,1,Canceled,2017-04-30
City Hotel,0,142,2016,April,18,29,0,2,1,0.0,0,BB,Portugal,Groups,TA/TO,0,0,0,A,A,1,No Deposit,0,Transient-Party,57.5,0,0,Check-Out,2016-05-01
City Hotel,1,290,2015,August,32,3,1,3,2,0.0,0,BB,Portugal,Groups,TA/TO,0,1,0,A,A,0,No Deposit,0,Transient-Party,62.0,0,0,Canceled,2015-07-06
Resort Hotel,0,22,2017,April,15,10,1,2,2,0.0,0,HB,Spain,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient-Party,120.67,1,1,Check-Out,2017-04-13
City Hotel,0,119,2017,March,12,24,1,2,2,0.0,0,SC,Ireland,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,79.2,0,1,Check-Out,2017-03-27
City Hotel,0,80,2016,June,23,4,2,1,2,0.0,0,BB,Germany,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,80.75,0,0,Check-Out,2016-06-07
City Hotel,1,50,2016,February,9,22,2,5,2,0.0,0,BB,Italy,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,0,Transient,12.0,0,0,Canceled,2016-01-08
Resort Hotel,1,198,2017,August,33,15,2,5,2,0.0,0,HB,Switzerland,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,0,Transient,231.43,0,2,Canceled,2017-02-16
City Hotel,1,66,2016,October,43,16,2,2,2,0.0,0,SC,Italy,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,108.0,0,1,Canceled,2016-09-23
City Hotel,1,18,2016,May,23,31,0,4,2,0.0,0,BB,Spain,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,112.8,0,0,Canceled,2016-05-20
Resort Hotel,1,349,2017,July,28,9,2,4,2,2.0,0,BB,Portugal,Direct,Direct,0,0,0,C,C,2,No Deposit,0,Transient,178.75,0,0,Canceled,2016-12-28
City Hotel,1,98,2017,August,31,5,2,1,2,0.0,0,BB,CN,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,155.0,0,1,Canceled,2017-05-24
City Hotel,1,21,2017,January,3,16,1,5,2,0.0,0,BB,United States,Direct,Direct,0,0,0,D,D,0,No Deposit,0,Transient,95.16,0,0,Canceled,2017-01-06
Resort Hotel,0,11,2015,November,47,21,2,1,2,0.0,0,BB,Portugal,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,0,Transient,26.0,0,0,Check-Out,2015-11-24
City Hotel,1,201,2017,June,24,14,0,4,2,0.0,0,BB,France,Groups,TA/TO,0,0,0,A,A,0,Non Refund,0,Transient,110.0,0,0,Canceled,2016-11-25
City Hotel,1,210,2017,June,25,19,1,3,2,0.0,0,BB,Portugal,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,0,Transient,130.0,0,0,Canceled,2017-01-24
City Hotel,1,34,2016,June,26,19,2,1,2,0.0,0,SC,Australia,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,98.1,0,0,Canceled,2016-05-19
City Hotel,1,233,2015,September,38,18,0,1,2,0.0,0,HB,Italy,Offline TA/TO,TA/TO,0,1,0,A,A,0,Non Refund,0,Transient-Party,120.0,0,0,Canceled,2015-07-08
Resort Hotel,0,16,2016,February,9,27,1,1,2,0.0,0,BB,Spain,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,0,Transient,48.0,0,1,Check-Out,2016-02-29
City Hotel,1,72,2015,December,53,31,0,1,2,0.0,0,BB,Germany,Direct,Direct,0,1,0,A,A,0,No Deposit,0,Transient,276.53,0,1,Canceled,2015-12-24
City Hotel,0,249,2017,July,28,12,0,4,1,1.0,0,SC,Germany,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,68.61,0,1,Check-Out,2017-07-16
City Hotel,1,140,2017,April,17,28,2,2,2,0.0,0,BB,Spain,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient-Party,130.0,0,0,Canceled,2017-03-20
City Hotel,0,282,2016,June,24,9,0,3,2,0.0,0,BB,Germany,Groups,TA/TO,0,0,0,A,A,0,No Deposit,48,Transient-Party,73.33,0,1,Check-Out,2016-06-12
City Hotel,0,62,2016,February,8,15,1,3,2,0.0,0,BB,Portugal,Online TA,TA/TO,0,0,0,B,B,0,No Deposit,0,Transient,65.66,0,1,Check-Out,2016-02-19
Resort Hotel,0,72,2017,March,13,31,3,7,2,0.0,0,HB,France,Offline TA/TO,TA/TO,0,0,0,A,E,1,No Deposit,0,Contract,101.21,0,1,Check-Out,2017-04-10
City Hotel,0,160,2017,July,29,22,2,3,2,0.0,0,BB,Belgium,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,175.5,0,2,Check-Out,2017-07-27
City Hotel,0,14,2015,September,38,15,0,2,1,0.0,0,BB,Russian Federation,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,0,Contract,114.0,0,1,Check-Out,2015-09-17
Resort Hotel,1,320,2017,February,7,17,2,4,2,2.0,0,BB,Portugal,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,0,Transient,93.0,0,0,Canceled,2016-05-28
Resort Hotel,0,221,2017,April,17,28,1,2,2,0.0,0,BB,Colombia,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,41.58,0,1,Check-Out,2017-05-01
City Hotel,0,17,2016,October,42,9,2,1,2,0.0,0,SC,Ireland,Offline TA/TO,TA/TO,0,0,0,A,E,0,No Deposit,0,Transient,85.0,0,0,Check-Out,2016-10-12
Resort Hotel,1,238,2016,September,37,7,0,3,1,0.0,0,BB,Portugal,Groups,TA/TO,0,0,0,D,D,0,Non Refund,0,Transient,89.0,0,0,Canceled,2016-02-09
City Hotel,0,7,2017,January,5,29,2,2,2,0.0,0,SC,France,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,54.71,0,0,Check-Out,2017-02-02
Resort Hotel,0,14,2016,August,32,4,2,3,2,0.0,0,HB,United Kingdom,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,262.6,1,1,Check-Out,2016-08-09
City Hotel,0,271,2016,September,39,23,0,2,2,0.0,0,BB,Italy,Direct,Direct,0,0,0,A,A,0,No Deposit,0,Transient-Party,95.4,0,0,Check-Out,2016-09-25
City Hotel,0,115,2017,April,18,30,2,4,2,0.0,0,BB,United Kingdom,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,138.0,0,2,Check-Out,2017-05-06
Resort Hotel,0,0,2016,May,23,31,0,1,1,0.0,0,BB,Portugal,Corporate,Corporate,0,0,0,A,A,0,No Deposit,0,Transient,57.0,0,0,Check-Out,2016-06-01
City Hotel,1,338,2016,October,41,7,1,2,2,0.0,0,BB,Portugal,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,68,Transient-Party,80.0,0,0,Canceled,2016-06-20
City Hotel,1,247,2016,October,44,28,1,2,2,0.0,0,BB,France,Groups,TA/TO,0,0,0,A,A,0,Non Refund,0,Transient,110.0,0,0,Canceled,2016-03-15
City Hotel,0,29,2017,January,3,18,0,3,1,0.0,0,BB,Denmark,Groups,TA/TO,0,0,0,A,D,0,No Deposit,0,Transient-Party,65.0,0,0,Check-Out,2017-01-21
City Hotel,1,31,2015,November,45,2,1,0,2,0.0,0,BB,France,Direct,Direct,1,1,0,A,A,0,No Deposit,0,Transient,85.5,0,1,Canceled,2015-10-02
City Hotel,1,351,2016,June,26,23,0,2,2,0.0,0,BB,Portugal,Groups,TA/TO,0,0,0,A,A,0,Non Refund,0,Transient,62.0,0,0,Canceled,2015-10-21
City Hotel,0,1,2017,March,12,22,0,1,2,0.0,0,BB,Portugal,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,109.0,0,1,Check-Out,2017-03-23
City Hotel,1,104,2015,October,41,6,0,2,2,0.0,0,HB,Germany,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,0,Transient-Party,114.0,0,1,Canceled,2015-08-22
City Hotel,1,158,2016,May,22,24,0,2,1,0.0,0,BB,France,Groups,TA/TO,0,0,0,A,A,0,Non Refund,31,Transient,130.0,0,0,Canceled,2016-01-18
City Hotel,0,257,2015,July,27,1,0,2,2,0.0,0,HB,Germany,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,101.5,0,0,Check-Out,2015-07-03
Resort Hotel,0,71,2016,May,23,31,0,2,2,1.0,0,BB,Brazil,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,81.69,1,0,Check-Out,2016-06-02
City Hotel,1,218,2017,August,35,31,2,5,3,0.0,0,BB,Russian Federation,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,162.0,0,0,Canceled,2017-01-31
City Hotel,0,7,2017,March,11,14,0,3,2,0.0,0,SC,Italy,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,98.0,0,0,Check-Out,2017-03-17
City Hotel,1,73,2017,April,15,9,2,0,2,0.0,0,BB,Italy,Groups,TA/TO,0,0,0,A,A,0,Non Refund,7,Transient,100.0,0,0,Canceled,2017-02-02
Resort Hotel,0,7,2017,June,23,7,0,2,1,0.0,0,BB,Italy,Corporate,Corporate,1,0,3,A,A,0,No Deposit,0,Transient,75.0,0,0,Check-Out,2017-06-09
Resort Hotel,1,57,2017,April,14,5,0,4,2,0.0,0,BB,Italy,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,0,Transient,93.75,0,1,Canceled,2017-03-07
City Hotel,0,13,2016,February,9,23,0,2,2,0.0,0,HB,Belgium,Direct,Direct,0,0,0,E,E,2,No Deposit,0,Transient,172.0,0,0,Check-Out,2016-02-25
Resort Hotel,0,2,2017,August,33,16,0,2,1,0.0,0,HB,Spain,Direct,Direct,0,0,0,E,E,1,No Deposit,0,Transient-Party,238.3,0,1,Check-Out,2017-08-18
City Hotel,1,23,2015,September,39,26,0,1,2,2.0,0,BB,Germany,Online TA,TA/TO,0,0,0,F,F,1,No Deposit,0,Contract,250.0,0,1,Canceled,2015-09-04
City Hotel,0,13,2016,April,17,18,1,0,1,0.0,0,BB,Italy,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,95.0,0,1,Check-Out,2016-04-19
City Hotel,0,90,2017,March,11,16,1,3,2,0.0,0,BB,United Kingdom,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,91.8,0,0,Check-Out,2017-03-20
City Hotel,1,95,2016,November,45,5,0,1,1,0.0,0,BB,Spain,Groups,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient-Party,75.0,0,0,Canceled,2016-10-21
City Hotel,0,15,2017,July,27,6,0,1,1,0.0,0,BB,Germany,Direct,Direct,0,0,0,A,A,1,No Deposit,0,Transient,125.0,0,0,Check-Out,2017-07-07
City Hotel,1,122,2016,July,31,30,2,2,3,0.0,0,BB,Spain,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,142.2,0,0,Canceled,2016-04-02
City Hotel,0,159,2016,July,28,3,5,10,0,0.0,0,BB,Finland,Online TA,TA/TO,0,0,0,A,K,2,No Deposit,0,Transient,0.0,0,1,Check-Out,2016-07-18
Resort Hotel,1,277,2017,June,24,17,4,6,2,0.0,0,HB,United Kingdom,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,0,Contract,98.4,0,0,Canceled,2017-03-06
Resort Hotel,0,295,2015,September,37,9,2,9,2,0.0,0,BB,Ireland,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,79.09,0,1,Check-Out,2015-09-20
Resort Hotel,1,100,2017,April,17,29,2,1,2,0.0,0,HB,Portugal,Groups,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient-Party,85.0,0,0,Canceled,2017-04-21
City Hotel,1,185,2016,July,30,18,2,5,2,0.0,0,BB,Sweden,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,90.95,0,0,Canceled,2016-01-28
City Hotel,1,137,2017,April,15,15,1,1,2,0.0,0,BB,United Kingdom,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,135.0,0,1,Canceled,2017-02-21
City Hotel,0,14,2015,September,39,21,1,2,2,0.0,0,BB,United Kingdom,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Contract,124.0,0,0,Check-Out,2015-09-24
City Hotel,1,92,2015,September,40,30,0,1,2,0.0,0,BB,Italy,Groups,TA/TO,0,0,0,A,A,0,Non Refund,0,Transient,170.0,0,0,Canceled,2015-08-21
City Hotel,1,133,2016,August,34,15,1,2,2,0.0,0,BB,United Kingdom,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,113.6,0,0,Canceled,2016-04-04
City Hotel,0,163,2017,August,34,23,0,3,2,2.0,0,BB,Spain,Direct,Direct,0,0,0,E,E,0,No Deposit,0,Transient,200.0,0,1,Check-Out,2017-08-26
Resort Hotel,0,70,2015,December,53,31,0,3,2,0.0,0,BB,Portugal,Direct,Direct,0,0,0,D,D,0,No Deposit,0,Transient,154.98,0,0,Check-Out,2016-01-03
City Hotel,1,62,2017,August,31,3,0,2,2,0.0,0,BB,Italy,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,150.0,0,0,Canceled,2017-06-03
City Hotel,0,220,2016,September,38,17,2,1,1,0.0,0,HB,Italy,Offline TA/TO,TA/TO,0,0,0,A,A,2,No Deposit,0,Transient-Party,128.0,0,0,Check-Out,2016-09-20
Resort Hotel,0,107,2017,March,10,9,0,2,1,0.0,0,Undefined,CN,Groups,TA/TO,0,0,0,E,E,1,No Deposit,0,Transient-Party,72.0,0,0,Check-Out,2017-03-11
City Hotel,0,194,2016,July,29,15,0,1,2,0.0,0,BB,Switzerland,Online TA,TA/TO,0,0,0,B,B,1,No Deposit,0,Transient-Party,86.75,0,0,Check-Out,2016-07-16
Resort Hotel,0,22,2017,June,26,29,0,1,1,0.0,0,BB,Italy,Offline TA/TO,TA/TO,1,0,1,A,C,0,No Deposit,0,Transient,107.95,0,0,Check-Out,2017-06-30
City Hotel,0,277,2017,July,29,22,2,5,3,0.0,0,BB,Germany,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,118.65,0,0,Check-Out,2017-07-29
City Hotel,0,19,2016,December,53,28,0,4,2,0.0,0,BB,United Kingdom,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,131.35,0,1,Check-Out,2017-01-01
Resort Hotel,0,0,2016,February,9,23,0,2,1,0.0,0,BB,France,Complementary,TA/TO,0,0,0,E,E,0,No Deposit,0,Transient,0.0,0,0,Check-Out,2016-02-25
City Hotel,1,36,2016,December,51,16,0,2,3,0.0,0,BB,Bangladesh,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,154.0,0,0,Canceled,2016-11-12
City Hotel,0,106,2016,October,41,7,1,2,1,0.0,0,BB,Italy,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,113.4,0,2,Check-Out,2016-10-10
Resort Hotel,0,0,2017,March,10,8,0,1,1,0.0,0,BB,France,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,0,Group,32.0,0,0,Check-Out,2017-03-09
Resort Hotel,1,138,2016,April,18,25,1,2,2,0.0,0,BB,Portugal,Groups,TA/TO,0,0,0,E,E,0,Non Refund,0,Transient,65.0,0,0,Canceled,2016-01-18
Resort Hotel,1,259,2015,September,38,17,0,3,2,0.0,0,BB,United Kingdom,Groups,Corporate,0,1,0,A,A,0,Non Refund,0,Transient,40.05,0,0,Canceled,2015-01-21
City Hotel,0,55,2016,June,26,21,0,2,2,0.0,0,BB,Paraguay,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,113.4,0,2,Check-Out,2016-06-23
City Hotel,0,215,2016,November,48,21,1,1,1,0.0,0,BB,France,Groups,Corporate,0,0,0,A,A,0,Non Refund,0,Transient-Party,75.0,0,0,Check-Out,2016-11-23
Resort Hotel,0,10,2015,October,43,19,1,2,2,0.0,0,HB,Germany,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,0,Transient,92.0,1,1,Check-Out,2015-10-22
Resort Hotel,0,169,2016,July,30,21,0,3,2,0.0,0,BB,Brazil,Online TA,Direct,0,0,0,E,E,0,No Deposit,0,Transient,173.67,1,2,Check-Out,2016-07-24
City Hotel,0,3,2016,June,25,16,0,1,0,2.0,0,BB,Portugal,Online TA,TA/TO,0,0,0,B,B,0,No Deposit,0,Transient,131.78,0,0,Check-Out,2016-06-17
